darija_ar,translated_eng
أنا فارحان قدرت نعاون,I'm glad I could help
راإع.,Good.
أخور,another
"واش ناقدار ناخود كايپيرينها, عافاك","Can I get a copy of it, please?"
غير لهضرا معاك كاتعارادني لخاطار كبير,But talking to you makes me very risky
كانفادال نتاكا هنا فشامش أُ مومكين ناقرا فاصل ولا جوج من كتابي,I'm trying to get a book here and maybe a chapter or two from my book
سداع راسّ,he is a header
وصلاتو هادييّا,they're all dead
ماكايتصنّعش,You don't make it
أنا معاتلا,I'm married
مابغاه التا حدّ,He wants to have a baby
واش هادشي كافي باش إعوّض علا لووجود ديالك فهاد لحابس?,Is this enough to compensate for your presence in this situation?
أيخاس إكونو قراب بزاف من بعاديياتهوم,Maybe they're too close to their enemies
الصبر...,Patience...
شهر تمنيا,eighth month
مامتءكادش أشنو إمكان لينا نديرو بلا خاريطا,I'm not sure what we can do without a map
نتا بوحدك لي عارفني شحال كانحماق علا ڤيدووات ديال لحاوايانت زويونين,You alone know how much I love the videos of animals
هيا ميتاليا ل عينين لكحلين.,It's a metallic double eye.
عينيه كحلين,his eyes are blue
"وايه, غاندير هادشي تاهوا","Yes, I'm going to do this for now"
عاود لينا شي قيسّا حشماتك,Give us some of your maths
ماكاناكولسه ماكلا لي فيها لحليب,I don't eat any milk
مابغيتش نشوف جيبال ديال ألپس قريبا بزاف,I don't want to see the mountains near the alps too much
أُ إمكن تهزّ شويا تشياطا تلماكلا ل لكلب ديالك.,And maybe you could shake a little bit of a smile for your dog.
"ألا بغيتيني نخرج من هنا, خسّك تجرّي عليا.","If you want me out of here, I'm gonna have to get hurt."
أهلان أزيز,Hello too
مرتاحا?,comfortable?
واش نتسنّا?,shall we wait?
عجباتني خدمتك,I like your service
هووّا قصير,he is short
مالك ف عينيك?,What's wrong with your eyes?
غانشارك معاك,I'll share with you
"كانقتاراح نعتيو لهاد لماجموعا لبياد, أُ لمجموعا لوخرا لقهوي","I suggest we use this for the breakfast group, and the coffee group for the last time"
لحاياوانات ماكاتبغيش لعافيا,The animals don't like the fire
شحال فساعا دابا?,what time is it now?
شوييا ديال شراب حدا لبار إمكان,"A little drink at the bar, maybe"
ماشي صوقك,It's not your business
بغيت نتعلّم لرّوسييّا,I want to learn Russian
خلّيني نضرب طليلا,Let me play the guitar
ماحتاج شارح تل موشتاقّات,I don't need to explain the problems
شنو أحسّن فيكرا جاتك علا قبل شي مشروع,what's your favorite idea for a project?
تانضنّ كاتستاحقّ نوقات كتر بزّاف من هادشي,I think you deserve more moments than that
داروري خاسنا نمشيو نتقدّاو!,My family needs to go shopping!
"حتا أنا, مزيان مني تلاكينا","Me too, better than ours"
كولنا غانموتو,We're all going to die
لحاياوانات كايعيشو ف لغابا,animals live in the forest
تعطّلتي ليوم تاني. شنو لعودر ديالك ليوم?,You've been late the other day. what's your favorite day today?
فاش خدّام باباك?,what's your father's job?
أنا غادي ل الدار من دابا ربعيّام,I'll be home in four months
مشاو ل الجامع يصلّيو,they go to the meeting to pray
إدان غادي ناخدو شويا ديال لوقت كولّا نهار السيمانا أجّايّا باش نراجعو جاداويل دارب,Then I'll take some time every weekday to review the magic of the tree
غاليبان غايجرّيو عليه من لخدما!,He's probably getting fired from work!
شهار خمسا,month five
واش كاتلعب ل باسكت?,Do you play basketball?
غير دوّزها,I'll take it
ماغانورّيكش,I won't show you
واش بعيد علا هنا?,Is it far from here?
أش بان ليك ف طالاب لماكلا تايلاندييا من هاد لماطعام?,What do you think about the Thai food in this restaurant?
فين كاتقرا?,Where do you read?
هاد الطريق خاويا,This road is empty
مانقدرش نتمشّا ب الطالون,I can't walk in the mountains
"حشمت شويا, والاكين ماعمرني كنت كانعرف مزيان ل جاداويل ضارب","I'm a bit embarrassed, but I've always been very knowledgeable about the hard-hitting magician"
"هاها, ماكاينش حتا شي ماحال بحال هادا.","Yeah, there's nothing else like that."
تفي الضواو,turn off the lights
تاقدار تكون ماتفاتّاح,You should be careful
"مانڭوليكش اللا علا لفولار, حيت راه نيت فيا لبرد.","I'm not going to tell you about the flu, because I'm cold."
شفتيني,you saw me
أنا مافهامتش أش وقاع ليك,I don't understand what happened to you
تقدار تقالّب علا ماداريس ليفيها تاخصّوصات تقدار تعاجباك,you can count on the number of people who have the specialties of your own
لي زرب تعطل,if the weather is bad
معاياش كاين لإجتيماع?,What time is it for the gathering?
سماح لييا,I'm sorry
عطيني ديك لعيبا عافاك,Give me your mistake please
أنا خايف شي شويا.,I'm a little scared.
ماكانحسش براسي مزيان,I don't feel well
واش كاينا شي حاجة رخص?,Is there anything left?
أُ طرومپ,and trump
يالّلاه نبلانيو لشي خرجا هاد لويكند,let's plan out what we're going to do this weekend
غاندّيك معايا,I'll take you with me
غادي إخسّني نتلاب أرشيبالد إصاوب هادشي بزربا.,I'll have to ask the archivist to fix this in a drink.
فييّا لحبوب ف وجهي,I can feel the love in my face
إمكان لينا ندورو بلا تاشي هاداف أُنتمنّاو نلقاو تريق باش نرجعو.,We could go without a goal and hope we find a way back.
أُ هادشي كايوقاع لبزاف ديال ناس هاد ليامات,And that's what happens to a lot of people these days
وجهو كان مازال صفر,His face was still zero
ربعا ديال سوايع?,quarter of an hour?
فهمت,I understand
كايتعلّم حوايج جداد,he's learning new skills
واش نقدار نتجبّد فهاد ل فوتويل?,Can I take this photo?
كيفاش نقدر نعاونك?,how can i help you?
واش نقدر نوقف?,Can I stop?
بلّاتي نقلّب ل پاراشوت واش ڭادّ إهزّ جوج تنّاس,I'm going to take a parachute and take a couple of naps
شكون لي كان خاسّو إتفاود علا لعاقد?,who would have been able to pay for the contract?
أش كيعني ليك تمتل بلادك فبوتولا عالامييا ?,What does it mean to you to fill your country in the world?
كتابت علا أنواع لماعلومات ليخاسّها تسجّل,I wrote about the types of information that should be recorded
هاد توموبيل كاتشبه ل توموبيلتي,this car looks like my car
"أه, إدان نتي كاتعيشي ف پارطما فلواقت لحالي?","Ah, so you live in a park right now?"
نتا عارف هادشي كاياخد واقت,you know this is time-consuming
بغيت لما سخون عافاك,"I want the heat, please"
ديما كايزيد جاو زوين,It always gets better
كانتمنّا يكون كولشي مزيان?,I wish everything was all right?
باش حسّيتي ملي لحاكام سفر,I've been feeling over the head of the traveling
وهاش مشيتي ل حمّام مغريبي من قبل?,And have you ever been to the bathroom before?
ماكاين تا كلب كبار من هادا,There's no bigger dog than that
أُه!,Oh!
