darija,tgt,src
مامسموحش ليا نسربي الناس لي سكرانين,I'm not allowed to serve people drunk,ماكانتسمحليش نقدم للناس السكارى
بصحّا,right,صح
هير مابقيتش كانستمتع بلحوايج اللي كان عزيز عليا نديرهوم,I never enjoyed the things I thought were worth doing,ماعندنيش الفرح فالشي اللي كنظن بلي كايستاهل
علامن كنتي كاتجسّس?,When were you spying?,وقتاش كنت تتنقّل؟
ماكانخاف من حتّا واحد,I'm not afraid of anyone,ماكانخافش من شي واحد
واش إمكان ليا نقتاباس هادشي منّك?,can I take this from you?,واش يمكن لي ناخد هادا منك؟
تقادري دوي معاه علا لماشاعير ديالك,You can do it with your emotions,يمكن ليك تديرها مع المشاعر ديالك
ماكاندقدروش ڭاع نركّزو فدار.,I can't concentrate at home.,ماكانقدرش نركز فالمنزل.
كانلبس الشورطات ديما,I always wear the pants,أنا دايما كينلبس البنطلون
ماكايقراش نهار التنين,I don't read on Monday,ماكانقراش نهار الاثنين
نتا ماكاينش هنا باش تكون جوكر,You're not here to be a joker,ماشي هنا باش تكون مزعج
طابعان غادي إلاحضو ناس بلي راك ماكاينش,Of course people will notice if you're not there,طبعاً الناس غي لاحظو إلا ما كنتش هنا
ماكانضنش,I don't think so,ماكانضنش
لحال كايسخون هنايا أُ غاليبان باقي خسّنا تسنّاو شي 15 دقيقا خرا,It's getting hot and probably the sun is about 15 minutes away,كايحرقو، وربما الشمس تبعد 15 دقيقه.
كيماكان لحال,as a matter of fact,بالواقع
واش هوما مزيانين?,are they good?,واش هادي مزيانة؟
فييّا الجوع,I'm hungry,أنا جوعان
باعد مني,get away from me,بقا بعيد عني
كيمّا كاتڭول,as you say,كما تقول
ماعنديش بزاف ديال لفلوس معايا,I don't have much money with me,ماعنديش بزاف دالمال.
ماڭاهديش يمشي لحتّا بلاصا,I'm not even going to the gym,ماشي حتى للصالة الرياضية
غلطّ,wrong,غالط
أشناهييا أكتر وخنييا رومانسّييا سمعتيها ?,What's the most romantic and technical thing you've ever heard?,اشنو هو الأكثر رومانسية والتقنية الشي اللي سمعتوه؟
مزيانا هاد جريدا فاش تاتكون زوينا بحال هاكا,It's nice that the paper is so beautiful,من الرائع إن الجريدة زوينة بزاف
بلاش,no,لا
كايعجبني اللحم مبخّر,I like steamed meat,كايعجبني اللحم المطبوخ
اندها,I am,أنا
غادي نشري تموبيل جديدا,I'm going to buy a new phone,غادي نشري هاتف جديد
إمكن خسّك تشوف شي طبيب ديال الريجيم باش إعاونك تنضّم ماكلتك,Maybe you should see a dietitian to help you get your food ready,يمكن ليك تروح لخصي النظام الغذائي يعاونك باش تجهز الماكلة ديالك
هاسنا المت كاريم,We are the best of the best,حنا أحسن من أحسن
"أُه, خسّك تكون ناعس دابا...","Oh, you're probably asleep now...",أوه، من المحتمل انك نايم دابا...
أيخسنا نديرو موحامي أُنشارحو بلي هادا كان غالات,We're going to have to make a decision and we're going to have to make sure that it's expensive,خاصنا نتخذو قرار، و خاصنا نتأكد بلي هاد الشي غالي
كايلعب لكورا مزيان,He plays football very well,كايلعب كرة القدم مزيانة بزاف.
نتشاوفو,we're talking,حنا كنت نتكلمو
"والو, شوكران","Wow, thank you",واو، شكراً ليك.
أشنو لي بدل فلماتك و خلاكوم تربحو,what do you think about your films and how do you win?,شنو رأيك في الأفلام ديالك؟ و كيفاش كتربح؟
كانت مرا لابسا كبّوط كحال أُ هازّا مضالّا,I was wearing a jacket and I was just about to go to bed,كنت لابس جاكيت، و كنت عازم نمشي للنوم
قرقب الناب,close to the pub,قريب من الحانة
"ماشي هير ل پيزّا, تاهيا.","Not good for pizza, too.",ماشي مزيان حتى للبيتزا.
"لا, شوكران","No, thank you",لا، شكراً ليك.
"إقدر إكون هوا كايعاني هوا براسو, والاكين تانامور خاساك تبلاغ عليه","He may be worried about himself, but then you have to report him",يمكن ليه يقلق على نفسه، ولكن بعد هاد الشي خاصك تبلغ عنه
أُرباع,the quarter,الربع
لي كانطلب منّك,I'm asking you,كايسألك
مانقدارش نزڭلها.,I can't take it.,ما تقدرش تتحملو.
كاندكّرك أنّانا فلا فاك,I'll remind you that we're not hungry,غاديك تذكري بلي ماكنش جوعانين
أشنو بغيتينا نديرو ف لقاإما ديال هاد الليلا?,What do we want to do at the party tonight?,اشنو بغينا نديروا فالحفلة هاد الليلة؟
"كنت مكتاءب شويا, أُ ءتّرو ليا علا الداكيرا بتاريقا خايبا أُ ردّوني فيا النعاس","I was writing a little, and they were late with the bad date and they put me to sleep",كْنْتْ كَنْكْتَبْ وْغَادِيوْ وْمْشَاوْ مْعَايَ وْغَدِيوْ نْعَسْنِي
"فنفس لوقت, قتاعنا نوس ديال لحبوب","At the same time, we've got a half-baked egg",فالوقت نفسه، عندنا بيضة نصفها مخبوزة
أُه شوف أنا مانقدارش نتسنا حتا تشادو,Oh look I can't wait until you get married,شفتي، ماكانطيقش نتسنى حتى تتزوجي.
كاندان بلي شامپاڭن كاتبان مومتيعا كتار,I think champagne looks so good,كنظن الشمبانيا كتبان مزيان
هوا طاباق نڭليزي بيمتياز!,It's a dish I need to make!,هادا طبق خاصني نديرو!
فيناهيا لوبنا عافاك?,"Where's the water, please?",فيناهما الما، عافاك؟
هادشي مامعروفش بزاف ف أُروپا,It's not very popular in Europe,ماشي مشهور بزاف فاوروبا
واكواكّ,watch out,حتاط
لواحاد داراجا,to the one of Darga,ل دارجا
لواليدا راها عتات لواليد كاسّ ديال لقهوا,My father gave me a cup of coffee,بيبا عطاني كاس ديال القهوة
سانسور عالا ليسار ديالك,The sensor is on your left,الحساس على يسارك
أنا ووجودي,me and my existence,أنا و وجودي
هادشي ليكاين,that's okay,ماشي مشكل
موصيبا كحلا,luck is good,الحظ مزيان
"أودي, ماخاسنيش نتمنّا هادشي","Oh, I don't have to hope for that",أوه، ماعلييش نتمنى ليك
واش فيك لحاساسيا ديال شي حاجة?,Do you feel anything?,واش كايحس بشي حاجة؟
كايهضر ب لونڭلي ف لخدما,He speaks English at work,كايهضر بالانجليزية فالعمل
هادي زعلولا,He's a mess,هو فوضى
أفن,the weather,الطقس
كاندان لاوقوف غادي يكون حسان ليا,I think it would be better to stand,كنظن بلي احسن لو نقف
واخا.,Well.,واخا.
نتا واجد?,Are you okay?,واش انت بخير؟
بشحال بعيد علا هنا?,How far is it from here?,شحال من البعد من هنا؟
كالّ هيم,He is a good man,هو رجل مزيان
ماشي بحال بحال.,Not exactly.,مَاشي بالضبط.
"مورا ليوم ليداوزتي, هادشي طابيعي","After the day I was born, it's natural",من بعد يوم ولادتي، هادا طبيعي
كانضنّ كولشي عندو ماشاكيل معا ترانسپورت,I think everyone has problems with transportation,كايبان للي كل واحد عندو مشاكل في النقل
"هالعار, نڭليزيا, ڭلتليك واش ماكاتفهم والو","It's a shame, English, you say you don't understand him",عيب، إنجليش، كاد تقول بلي ما تقدرش تفهمه.
هادي لخمسا أُ تولوت,It's Thursday and Tuesday,هادي الخميس والثلاثاء
ماكايقدرش يتمشا,He can't walk,ما يقدرش يمشي
دوّر ليا.,Turn me in.,سلمني.
واش شافتي شي ماكلا كاينا ف لبار?,Have you seen any food in the bar?,واش شفت شي ماكلة فالبار؟
أخيران والايسا أ'خيران,Last and last,آخر واحد
تصنّت لقلبك,I've touched your heart,لمست قلبك
كانءملو لمودير ديالك إقدّر داكشي,I hope your manager appreciates this,كانتمنى يقدر مديرك هاد الشي
كيداير?,What does it mean?,شنو كايعني؟
"واخا, ماش ماتقدارش تابزاز علا راسك تكون عاقلاني فهادشي?","Well, don't you think you should be smart about this?",واخا، واش ما تظنش بلي خاصك تتصرف بذكاء؟
