Original Moroccan Arabic,Translated English
عمرك تضربو فراسو,Your age is not a factor.
"هاك, خود تفرتيت تلخبز.","Here, have a cake."
تانا غانجينسكن معاكوم,I'm with you.
غادي نشرڭ هاد لوراق,I will publish this paper.
توحشنا لهريرة,We are hungry for a beer.
نحيد أنونيات حشاكوم,I need to know your name.
نتا مكلخ,You are a clown
السيمانة للي فات، سعيد كتب رسالة لصاحبو؟,"Last week, did you write a letter to your friend?"
راه أنيق هاد الباس وا راك نادي,This is a nice bass and a club rack.
راه مجهد لولد ديما معير واليديه,It is difficult for a child to always hold his parents' hands.
واش تقدر تكتب ليا عنوانك,Can you write down your address for me?
عدنا نقص,We are short.
مابقينا سمعنا عليه تا شي خبر,We haven't heard from him yet.
شرتي قرعة ديال الما عند مول الحانوت,I bought a bottle of water at the mall.
غانمشي نعيش تيما,I'm going to live there.
تانفكّر واش نسد شرجم,I'm thinking of closing a window.
عمرك ت حدّم شي ناسّ ماشي مهّولين,Your life has been ruined by some very unimportant people
كاين دابا,It is now.
هي مادپلاشا على واد هاد,It is located on the Madpleshah valley.
غير دعي معاها,Just stay with her.
مابقيتش باغي نعبر هاد النفق تايتوّل طريق,I don't want to go through this tunnel anymore. It's a long way.
نتا غادي غير لور لور,You will go straight back.
المنظر غريب بزاف,The view is very strange
عندك تولدي ليا هنا,You have my birthday here.
واش تقدر تعاود بطريقة أخرى؟,Can you repeat it another way?
مازال ماتخلست,It's not finished yet.
مابقيتش باغي نسولو حيت كيتنفع عليا,I don't want to wear it anymore because it hurts me.
ماتمشيش لديك لبلاصة,You don't have a seat.
شنو دار بالضبط؟,What exactly is a house?
هي لي مورا هادشي كولو,It's mine after all.
ماكانحملوش,I don't have it.
القضية ديال توجيه مهمة,The issue of orientation is important.
باراكا ماتشوف فيا,Please don't look at me.
علاش مابغيتيش تسدد داك شرجم واش مكايدخلش سرق زيت,Why don't you close that window so that the oil doesn't get stolen?
صاحبك كايبان ليا مكاينش هنا,Your friend doesn't seem to be here.
نتحداك ت تحشي ليه لهدرا إيلا ماعاودها معاك بصليا,"I dare you to tell him that if he doesn't bring it back with him, he's going to die."
سير زيد ف طول ديال طوب,Increase the length of the brick
راه مشارجي تيليفوني,This is my telephone charger.
مشغولة ماشكيت عليك,"I'm busy, I've been looking for you."
واش هادشي شيه,Is that a thing?
أنا غادي ن دعو,I will let him go.
مع الوظيفة مالقيناش لوقت,With the job we have not yet found
هدري غير بشوية,Speak slowly
سايبت ليستا ديال دكشي لي أيخصني نشري,I have a list of things I want to buy.
بلا ماتفسر.,No explanation is given.
جاني لبرد,I have a cold.
السيدة تماك حبيلا، وكاترمي الباطل على أي واحد!,"The lady is pregnant, and I don't care who she is!"
أنا غادي نتج ليك شوية ديال الديسير,I'll get you some dessert.
مابقاش بزاف,Not much longer
مهتمين بالثقافة المغربية,Interested in Moroccan culture
واش غادا ف طريقي نوصلك?,Is it on my way to get you?
من سخري و أنا عزيز عليا نتسابق,It's funny and I love to race
عرس خويا,Brother's wedding
هي بغاتك غير ديري هاد الحالة,You want to change that.
خاصك تغلب على الخوف ديالك,You must overcome your fear
كان كيسحاب ليا غادي يجزم أنهو ماخايكدبش,"If he were to pull me over, he would swear that he didn't do it."
نتا ضريف بزاف,You are very kind.
راه عملية هاد الفكرالي قطارحتي,This is a thought process that I have been involved in.
علاش كات عرض ما تات عليمك,Why are you showing your ignorance?
ماعنديش راس المال,I don't have any money.
حسن ليا نمشي لدار,I'm ready to go home.
علاش مابغيتيش تدفڭ داك البن راه أصلا حامد,Why don't you heat this tea? It's already warm.
كاتجيو يباركو ليا,They are coming to greet me.
كون غير قدرت ن تمندر.,I just wanted to get away.
ماكاقدركس نهوت راسي على الوسادة,I can't believe I fell on my pillow.
علاش مابغيتيش تشوش على دوك الدراري لي مدوزين امتحان خايف لايتجبد ليك صداع,Why don't you go to the doctor and have a checkup? You might have a headache.
ياكما شفتي؟,Did you see that?
فيهوم,Including
كاينين شفّارة,There are two embassies.
"ألا بغيتيني نخرج من هنا, خسّك تجرّي عليا.","If you don't want me to leave here, please run."
راك بخبيزتك,You have your cake.
العيشة ديال زوافرية,The life of a reptile
واخا، خود راحتك,"Okay, take your time."
راه مبدائي هاد القانون باقي خايتبدل,This law is still in the process of being changed.
كون محطوب يجيب ليك الله مرة مربية ومخلقة,"Being broken, God will give you a new birth and a new life"
نتحداك ت قد ليا هاد لعبة,I dare you to bring me this toy
دابا نفكّر ف هادشي,Now think about it.
قلت شي كاترشي,I said something catchy.
سافرتي د سيف,My sword
بصحتكوم هد الڭالسا.,You have a good chair.
واش غادي تاخد طيارة ولا تران؟,Will you be taking a plane or a train?
بقات شهال وهيا تشوف,Just wait and see.
أشنية أحسن لون عندك؟,What is your favourite colour?
ماجاهاش نعاس,I don't feel like sleeping.
كيفاش كتعامل مع التحديات؟,How do you deal with challenges?
مشا لسويقة,Go to the market.
ماعمرني خديتها,I've never had it.
مابقيتش باغي ندير هاد العملية را صعيبة,I don't want to do this anymore. It's too hard.
لتج رجع دنيا كولا بيضا,The world is back to a white world.
خاصني نقص شعري,I need to cut my hair.
كان كيسحاب ليا غادي دفع عليا كبير,"If I had to withdraw it, I would have to pay a lot more."
شحال هادا ماتفرجنا أنا وياك,How much this means to you and me
شفرو ليا صاك,Check my bag.
كناخدها بزاف المرات,I take it many times.
كون غير قدرت نندمج فهاد الالتراس أو نشد بلاصتي فيها,If only I could blend into this terrace or take my place in it.
مابغيتش نخسره,I don't want to lose it.
ماكايسمعش مزيان,I can't hear very well.
حبسوني ف الدخلة ديال طيران,I was locked in the airport lounge.
غادي نقدي الغرض أشمن نهار لي مناسبك؟,Will I be able to deliver the item on a day that is convenient for you?
قادي بداية مزيانة,You have made a good start.
سيمانا حسبوه,We have been counting for weeks.
تاهد ماكان باغي يعاديك,I didn't want to hurt you.
